poi_type_id;poi_type_name
administration;"administration"
agence_commerciale_des_reseaux;"agence_commerciale_des_reseaux"
aire_covoiturage;"aire_covoiturage"
autopartage;"autopartage"
centreville;"centreville"
cimetiere_funerarium;"cimetiere_funerarium"
commerces_services;"commerces_services"
culture_patrimoine;"culture_patrimoine"
enseignement_formation;"enseignement_formation"
famille;"famille"
hopital_soin;"hopital_soin"
lieu-dit;"lieu-dit"
lieux_accueil_hebergement;"lieux_accueil_hebergement"
lieu_de_culte;"lieu_de_culte"
location_velo;"location_velo"
amenity:parking;"parking"
sorties_loisirs;"sorties_loisirs"
sport;"sport"
stationnement_velo;"stationnement_velo"
tourisme;"tourisme"
vie_de_quartier;"vie_de_quartier"
amenity:bicycle_rental;"V̩lo en libre-service"
